CONTA	VALOR	TIPO
1	9584	D
1	46545	D
1	4654	D
1	45646556	D
1	46545	D
1	9554	D
1	478945	D
1	9568	D
1	5784	D
1	48	D
1	478946	D
1	7156	D
2	4111	D
2	6456145	D
2	46545	D
2	47986465	D
2	478945	D
2	9568	D
2	5784	D
2	48	D
2	478946	D
2	7156	D
2	4111	C
1	4111	C
1	4111	C
1	4111	C
1	478651	C
1	4111	C
1	4111	C
1	4111	C
1	4111	C
1	787464	C
1	4111	C
1	4111	C
1	4111	C
1	8796541	C
1	4111	C
1	4111	C
1	4111	C
1	4111	C
4	4111	C
4	4111	C
4	4111	C
4	4111	C
4	4111	C
4	45646556	C
4	46545	C
4	47986465	C
4	45646556	D
1	46545	D
1	955444	D
1	478945	D
1	9568	D
1	5784	D
1	48	D
1	478946	D
1	7156	D
1	4111	D
1	9584	D
1	46545	D
1	4654	D
1	45646556	D
1	46545	D
1	9554	D
1	478945	D
1	9568	D
1	5784	D
1	48	C
1	478946	C
1	7156	C
1	4111	C
1	6456145	C
1	46545	C
1	47986465	C
1	478945	C
1	9568	C
1	5784	C
1	48	C
1	478946	C
1	7156	C
1	4111	C
1	4111	C
1	4111	D
1	4111	D
1	478651	D
1	4111	D
1	4111	D
1	4111	D
1	4111	D
1	787464	D
1	4111	D
1	4111	D
1	4111	D
1	8796541	D
1	4111	D
1	4111	D
1	4111	D
1	4111	D
1	4111	D
1	4111	D
1	4111	D
1	4111	D
1	4111	D
1	45646556	D
1	46545	D
5	47986465	D
5	45646556	D
5	46545	D
5	955444	D
5	478945	D
5	9568	D
5	5784	D
5	48	D
5	478946	D
5	7156	D
5	4111	D
5	46545	D
2	955444	D
2	478945	D
2	9568	D
2	5784	D
2	48	D
2	478946	D
2	7156	C
2	4111	C
2	46545	C
2	47986465	C
2	478945	C
2	9568	C
2	5784	C
2	48	C
2	478946	C
2	7156	C
2	4111	C
2	4111	C
2	4111	C
2	4111	C
2	4111	D
2	45646556	D
2	46545	D
2	47986465	D
2	45646556	D
2	46545	D
2	955444	D
6	478945	D
6	9568	D
6	5784	D
6	48	C
6	478946	C
6	7156	C
6	4111	C
6	9584	C
6	46545	C
6	4654	C
6	45646556	C
6	46545	C
6	9554	C
6	478945	C
6	9568	C
6	5784	C
6	48	C
6	46545	D
6	47986465	D
6	478945	D
6	9568	D
6	5784	D
2	48	D
2	478946	D
2	7156	D
2	4111	D
2	9584	D
2	46545	C
